KTS	S	FD	KD	LT
18	1	0	16	16
20	30	0	7	7
21	5	0	18	18
23	14	0	18	18
24	9	0	19	19
26	10	0	21	21
26	25	0	15	15
27	8	0	23	23
27	16	0	19	19
27	20	0	19	19
27	7	0	23	23
27	26	0	16	16
28	2	0	26	26
28	28	0	16	16
29	27	0	18	18
29	29	0	17	17
29	46	9	1	10
30	4	0	28	28
30	17	0	22	22
30	22	0	21	21
31	13	0	26	26
31	24	0	21	21
31	31	0	18	18
31	33	0	17	17
31	12	0	26	26
31	18	0	23	23
31	61	0	7	7
31	36	10	6	16
32	34	0	17	17
32	64	7	0	7
33	40	0	17	17
33	37	0	18	18
33	66	6	1	7
34	60	0	10	10
34	43	0	15	15
35	63	5	5	10
35	67	6	3	9
35	57	6	6	12
35	68	9	0	9
36	69	7	3	10
36	58	9	4	13
36	41	15	4	19
36	38	16	5	21
37	21	0	28	28
38	73	0	9	9
38	74	5	3	8
39	45	0	20	20
39	76	3	6	9
40	80	0	8	8
40	11	0	35	35
40	87	0	6	6
40	42	13	9	22
41	79	2	7	9
41	84	3	4	7
41	65	4	11	15
41	44	13	9	22
42	82	3	6	9
42	78	6	5	11
43	62	4	14	18
44	89	0	9	9
44	39	0	28	28
44	77	6	8	14
44	71	9	7	16
45	55	0	22	22
45	86	0	11	11
45	85	2	9	11
45	52	11	13	24
46	96	0	6	6
46	6	0	42	42
46	19	0	38	38
46	101	1	4	5
46	94	3	4	7
47	100	0	6	6
47	48	0	27	27
47	35	0	32	32
48	70	0	21	21
48	49	0	28	28
48	50	0	27	27
48	108	3	3	6
49	104	0	8	8
49	32	0	35	35
49	23	0	40	40
49	15	0	43	43
50	112	0	7	7
50	113	0	7	7
50	3	0	48	48
50	88	6	9	15
50	54	26	1	27
51	117	1	5	6
51	102	10	0	10
51	81	17	1	18
51	59	26	1	27
52	98	0	12	12
52	91	14	1	15
52	56	27	2	29
53	92	0	16	16
53	106	0	11	11
53	97	3	10	13
53	111	9	1	10
54	103	0	13	13
54	110	0	11	11
54	115	0	9	9
54	109	3	9	12
55	127	0	5	5
56	129	0	6	6
56	118	5	4	9
56	121	6	3	9
57	119	0	10	10
57	132	0	6	6
57	123	3	6	9
58	51	0	37	37
59	99	0	19	19
59	137	0	6	6
59	116	0	14	14
59	93	1	21	22
59	124	3	8	11
60	47	0	41	41
60	128	0	10	10
60	142	6	0	6
60	105	10	8	18
61	134	0	9	9
61	136	0	8	8
62	140	0	8	8
62	135	0	9	9
62	95	0	23	23
62	125	5	9	14
62	143	6	2	8
63	114	0	18	18
63	146	0	7	7
63	130	5	8	13
64	167	0	4	4
64	156	0	6	6
64	155	4	2	6
65	139	0	11	11
65	120	0	18	18
65	150	0	8	8
65	141	0	11	11
65	83	1	31	32
65	168	3	2	5
65	158	7	0	7
66	90	5	25	30
66	164	7	0	7
67	170	6	1	7
68	172	0	7	7
68	144	0	12	12
68	159	0	10	10
68	163	0	9	9
68	151	1	10	11
69	169	9	0	9
70	131	0	20	20
70	173	0	8	8
70	157	0	12	12
70	152	0	13	13
70	177	8	0	8
71	149	0	14	14
71	75	0	41	41
71	148	5	10	15
71	175	7	2	9
72	171	3	8	11
73	184	0	8	8
73	160	1	13	14
73	182	2	7	9
73	185	2	6	8
73	178	8	2	10
74	176	0	12	12
74	165	0	14	14
74	191	3	3	6
74	145	5	13	18
74	162	10	5	15
75	147	0	19	19
75	190	1	7	8
76	153	0	19	19
76	188	0	9	9
76	53	0	53	53
76	122	0	28	28
76	196	2	5	7
76	179	3	10	13
76	126	5	21	26
77	201	0	5	5
77	192	0	9	9
77	72	0	49	49
77	138	2	22	24
77	202	2	3	5
77	195	3	5	8
77	174	3	12	15
77	193	9	0	9
77	180	14	0	14
78	189	4	7	11
78	206	5	0	5
79	133	0	27	27
79	203	0	7	7
79	199	3	5	8
79	204	5	1	6
81	166	0	21	21
81	205	0	8	8
81	210	1	6	7
82	186	12	5	17
83	212	0	8	8
83	211	0	9	9
83	154	5	20	25
84	217	0	9	9
84	187	10	7	17
85	220	1	7	8
85	216	8	2	10
85	218	9	0	9
86	222	0	7	7
88	225	0	8	8
88	194	0	19	19
88	181	0	24	24
88	221	0	9	9
88	198	3	14	17
88	215	7	6	13
89	213	0	14	14
89	107	0	47	47
90	209	1	15	16
91	183	0	27	27
91	161	8	24	32
92	223	0	12	12
93	208	5	15	20
94	219	0	17	17
96	214	5	16	21
98	200	0	27	27
100	207	5	22	27
111	224	0	31	31
120	197	0	50	50
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
206.352559	418.549953	425.790642	467.516595	
R1_Unpaved_Dist	R2_Unpaved_Dist	R3_Unpaved_Dist	R4_Unpaved_Dist	
2		3		2		2		
Game is Win
Total Enemies = 225
Average First-Shot Delay = 2.782222
Average Kill Delay = 13.120000
