KTS	S	FD	KD	LT
5	4	0	4	4
10	8	0	8	8
10	1	0	9	9
12	18	0	7	7
12	28	0	5	5
12	9	0	9	9
14	41	0	4	4
14	6	0	12	12
15	26	0	8	8
15	12	0	12	12
17	47	0	6	6
17	19	0	12	12
18	22	0	12	12
19	51	0	7	7
19	2	0	18	18
20	5	0	18	18
20	14	0	15	15
21	30	0	14	14
21	15	0	16	16
22	10	0	19	19
22	24	0	16	16
22	60	2	4	6
23	13	0	20	20
23	61	3	4	7
23	49	10	1	11
24	25	0	18	18
24	27	14	3	17
25	32	0	17	17
25	37	0	16	16
25	3	0	24	24
25	20	0	19	19
26	52	3	11	14
26	35	13	5	18
27	38	0	18	18
27	65	1	7	8
27	66	6	2	8
28	33	0	20	20
28	16	0	23	23
29	11	0	26	26
29	31	0	21	21
30	67	6	4	10
30	57	7	7	14
31	59	0	15	15
31	43	0	21	21
31	29	0	24	24
31	21	0	25	25
31	68	5	6	11
31	42	13	8	21
32	74	0	8	8
32	53	0	19	19
32	17	0	27	27
32	40	0	22	22
32	54	0	18	18
33	39	0	23	23
34	36	0	26	26
34	58	12	6	18
34	50	14	8	22
35	46	0	24	24
35	56	0	19	19
36	82	0	9	9
36	89	0	7	7
36	84	1	7	8
36	62	17	1	18
36	64	17	1	18
37	95	0	7	7
37	99	1	5	6
37	69	10	7	17
38	92	0	8	8
38	97	0	7	7
38	83	0	10	10
38	76	11	2	13
39	87	0	10	10
39	88	0	10	10
39	94	1	8	9
39	96	6	2	8
39	75	10	4	14
40	102	0	8	8
40	104	0	8	8
40	34	0	32	32
40	93	10	0	10
40	73	11	7	18
40	71	12	7	19
41	55	0	26	26
41	23	0	35	35
41	100	10	0	10
41	79	12	4	16
42	48	0	31	31
42	114	3	2	5
42	85	10	4	14
42	45	13	18	31
43	77	0	18	18
43	90	0	14	14
43	72	6	16	22
43	101	8	3	11
44	91	0	14	14
44	111	8	2	10
44	81	11	7	18
45	44	0	35	35
45	112	0	10	10
45	109	5	7	12
46	103	0	14	14
46	116	0	9	9
46	86	11	7	18
47	126	0	5	5
47	98	0	16	16
48	80	3	19	22
48	113	8	5	13
49	106	0	16	16
49	63	6	25	31
49	108	7	9	16
50	125	0	9	9
50	118	2	11	13
50	121	2	9	11
50	122	2	9	11
51	127	0	9	9
51	129	0	8	8
53	128	1	9	10
53	131	1	9	10
53	136	1	8	9
53	124	5	9	14
53	139	5	2	7
54	110	0	20	20
54	141	5	2	7
55	133	0	11	11
55	117	0	18	18
55	143	0	7	7
55	137	3	8	11
56	148	0	7	7
56	138	2	9	11
57	7	0	55	55
57	134	1	12	13
59	132	0	15	15
59	159	2	5	7
60	163	0	7	7
60	156	4	5	9
61	147	0	13	13
61	151	0	12	12
61	153	0	10	10
61	130	0	18	18
61	162	7	1	8
62	161	0	10	10
62	155	0	11	11
