KTS	S	FD	KD	LT
62	152	5	8	13
62	142	6	8	14
62	78	11	26	37
63	150	0	14	14
63	169	1	7	8
63	160	2	9	11
63	165	5	3	8
63	115	6	20	26
64	145	0	16	16
64	166	0	9	9
64	167	1	8	9
65	182	0	4	4
65	123	0	26	26
65	154	3	11	14
65	173	7	0	7
66	144	0	18	18
66	175	0	8	8
66	183	2	3	5
66	164	3	10	13
67	157	0	16	16
67	177	5	4	9
68	107	0	35	35
68	186	0	5	5
69	187	0	6	6
69	172	0	11	11
69	168	1	13	14
70	70	0	49	49
70	181	3	6	9
70	105	8	30	38
71	149	0	22	22
71	158	0	20	20
72	192	0	7	7
72	185	0	10	10
73	200	0	5	5
73	120	2	32	34
73	194	6	2	8
74	140	0	27	27
75	202	0	7	7
75	189	2	9	11
76	180	0	15	15
76	176	0	18	18
76	196	0	9	9
76	171	7	12	19
76	203	7	1	8
76	195	8	3	11
77	188	0	13	13
77	198	0	9	9
77	199	0	9	9
78	178	3	16	19
79	190	3	12	15
79	174	8	13	21
80	193	0	15	15
80	210	4	4	8
80	201	6	6	12
81	216	0	7	7
81	204	3	8	11
82	219	0	4	4
82	209	2	8	10
82	146	4	30	34
82	207	6	5	11
83	119	3	42	45
84	197	0	17	17
84	208	3	10	13
85	184	0	24	24
87	229	0	6	6
87	227	0	7	7
88	220	0	9	9
89	230	0	8	8
89	214	0	15	15
90	238	0	7	7
90	211	0	18	18
90	135	0	46	46
90	231	2	7	9
90	179	13	18	31
92	222	0	12	12
92	205	0	22	22
92	215	0	18	18
92	221	1	12	13
92	239	2	7	9
93	228	0	12	12
93	246	0	6	6
93	240	1	9	10
93	241	7	2	9
94	170	2	37	39
95	242	0	11	11
95	245	6	2	8
96	253	0	7	7
96	232	0	15	15
96	226	0	16	16
96	249	0	8	8
96	217	3	19	22
96	248	7	2	9
96	250	8	0	8
97	223	0	17	17
97	252	0	8	8
97	234	0	15	15
97	251	1	7	8
97	257	6	0	6
98	247	0	11	11
98	235	0	15	15
99	191	0	34	34
99	255	0	8	8
100	244	0	13	13
100	259	0	9	9
100	254	0	10	10
101	267	0	8	8
101	237	0	18	18
102	218	0	26	26
102	270	1	4	5
102	265	3	6	9
103	256	0	12	12
103	268	0	7	7
103	261	0	11	11
103	266	4	6	10
104	213	0	32	32
104	225	1	23	24
104	263	1	10	11
105	260	1	12	13
105	243	1	19	20
106	233	0	25	25
106	274	0	6	6
107	275	0	7	7
107	264	0	14	14
107	276	0	5	5
108	281	0	4	4
110	236	0	27	27
111	273	0	11	11
112	280	0	9	9
112	224	0	32	32
113	271	0	16	16
113	272	0	16	16
114	262	0	21	21
115	269	0	18	18
115	279	0	12	12
118	283	0	14	14
120	277	0	17	17
122	282	0	18	18
122	212	0	50	50
122	206	0	52	52
122	258	6	25	31
138	278	0	35	35
T1_Total_Damage	T2_Total_Damage	T3_Total_Damage	T4_Total_Damage
306.401600	224.827268	290.510082	299.735655	
R1_Unpaved_Dist	R2_Unpaved_Dist	R3_Unpaved_Dist	R4_Unpaved_Dist	
4		2		4		2		
Game is Win
Total Enemies = 283
Average First-Shot Delay = 2.130742
Average Kill Delay = 12.908127
